"filename", "language", "Dart", "YAML", "Markdown", "Swift", "XML", "JSON", "C++", "Gradle", "Java Properties", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/samharvey/AndroidStudioProjects/digby/lib/treats/upgrades.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"/Users/samharvey/AndroidStudioProjects/digby/lib/widgets/app_drawer.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 90
"/Users/samharvey/AndroidStudioProjects/digby/lib/widgets/button.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"/Users/samharvey/AndroidStudioProjects/digby/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/samharvey/AndroidStudioProjects/digby/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/AndroidStudioProjects/digby/linux/main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/samharvey/AndroidStudioProjects/digby/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/samharvey/AndroidStudioProjects/digby/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/samharvey/AndroidStudioProjects/digby/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"/Users/samharvey/AndroidStudioProjects/digby/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/samharvey/AndroidStudioProjects/digby/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/samharvey/AndroidStudioProjects/digby/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/samharvey/AndroidStudioProjects/digby/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/samharvey/AndroidStudioProjects/digby/package-lock.json", "JSON", 0, 0, 0, 0, 0, 960, 0, 0, 0, 0, 0, 0, 0, 1, 961
"/Users/samharvey/AndroidStudioProjects/digby/package.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/samharvey/AndroidStudioProjects/digby/pubspec.yaml", "YAML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 14, 102
"/Users/samharvey/AndroidStudioProjects/digby/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/samharvey/AndroidStudioProjects/digby/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 16, 7, 65
"/Users/samharvey/AndroidStudioProjects/digby/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/samharvey/AndroidStudioProjects/digby/web/splash/splash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/Users/samharvey/AndroidStudioProjects/digby/web/splash/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 9, 57
"/Users/samharvey/AndroidStudioProjects/digby/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 5, 15
"/Users/samharvey/AndroidStudioProjects/digby/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 15, 67
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/samharvey/AndroidStudioProjects/digby/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 950, 33, 10, 40, 490, 1053, 536, 102, 8, 42, 5, 48, 295, 373, 3985
