"filename", "language", "Dart", "comment", "blank", "total"
"/Users/samharvey/AndroidStudioProjects/digby/lib/game_management/game_control.dart", "Dart", -1, -6, -2, -9
"/Users/samharvey/AndroidStudioProjects/digby/lib/game_management/motion.dart", "Dart", -1, -4, -2, -7
"/Users/samharvey/AndroidStudioProjects/digby/lib/home_page.dart", "Dart", -14, 0, 0, -14
"/Users/samharvey/AndroidStudioProjects/digby/lib/providers.dart", "Dart", 0, 35, 1, 36
"/Users/samharvey/AndroidStudioProjects/digby/lib/treats/upgrades.dart", "Dart", -1, -3, -2, -6
"Total", "-", -17, 22, -5, 0
